tender_id,source,source_url,source_date,announcement_date,tender_result_date,buyer_institution,tender_authority,tender_name,product_group,product_name,brand_name,region,quantity,unit,contract_value_try,contract_value_vat_excluded_try,winning_company,result,notes,extraction_confidence
KAP-1057466,KAP,https://www.kap.org.tr/tr/Bildirim/1057466,2022-08-22,2022-08-22,2022-08-19,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Tıbbi Beşeri İlaç Alımı,Medical supply,,,Turkey,,,6052308.48,6052308.48,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 6.052.308,48 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Dairesi Başkanlığı tarafından açılan Tıbbi Beşeri İlaç alım ihalesi DİADOL markası ile 6.052.308,48 TL (KDV HARİÇ) tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1053435,KAP,https://www.kap.org.tr/tr/Bildirim/1053435,2022-08-09,2022-08-09,2022-08-09,Devlet Malzeme Ofisi 4 Nolu Satınalma Dairesi Başkanlığı,Devlet Malzeme Ofisi 4 Nolu Satınalma Dairesi Başkanlığı,Tıbbi Beşeri İlaç Alımı,Medical supply,,TURKFLEKS,Turkey,,,25781065.27,25781065.27,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 25.781.065,27 TL + KDV | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 4.Nolu Satınalma Dairesi Başkanlığı tarafından açılan Tıbbi Beşeri İlaç alım ihalesi TURKFLEKS markası ile 25.781.065,27 TL (KDV HARİÇ) tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1049213,KAP,https://www.kap.org.tr/tr/Bildirim/1049213,2022-07-29,2022-07-29,2022-07-29,Devlet Malzeme Ofisi Genel Müdürlüğü 4.Nolu Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü 4.Nolu Satınalma Daire Başkanlığı,Tıbbı Beşeri İlaç Alımı,Medical supply,,TURKFLEKS,Turkey,,,248437522.08,248437522.08,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 248.437.522,08 TL (KDV DAHİL) | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 4.Nolu Satınalma Dairesi Başkanlığı tarafından açılan Tıbbi Beşeri İlaç alım ihalesi TURKFLEKS markası ile 248.437.522,08 TL (KDV DAHİL) tutarla ortaklığımız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-1024690,KAP,https://www.kap.org.tr/tr/Bildirim/1024690,2022-04-28,2022-04-28,2022-04-28,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Beşeri Tıbbi Ürün,Medical supply,,,Turkey,,,27107811.41,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 27.107.811,41 TL | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı tarafında açılan Beşeri Tıbbi Ürün Alım ihalesi 27.107.811,41 TL ile Uhdemizde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla",high
KAP-1022884,KAP,https://www.kap.org.tr/tr/Bildirim/1022884,2022-04-22,2022-04-22,2022-04-21,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı,Beşeri Tıbbi Ürün Alımı,Medical supply,,,Turkey,,,100.0,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 100 | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı tarafında açılan Beşeri Tıbbi Ürün Alım ihalesi 3.895.417,16 TL ile Uhdemizde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla",high
KAP-1003999,KAP,https://www.kap.org.tr/tr/Bildirim/1003999,2022-02-24,2022-02-24,2022-02-24,Devlet Malzeme Ofisi 4 Nolu Satınalma Dairesi Başkanlığı,Devlet Malzeme Ofisi 4 Nolu Satınalma Dairesi Başkanlığı,Tıbbi Beşeri Serum Alımı,Serum / IV solution,,,Turkey,,,100.0,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 100 | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi 4 Nolu Satınalma Dairesi Başkanlıı tarfından açılan Tıbbi Beşeri Serum alımı ihalesi 280.505.940,94 TL bedel ile 34.947.576 adet olarak şirketimiz uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla",high
KAP-999711,KAP,https://www.kap.org.tr/tr/Bildirim/999711,2022-02-07,2022-02-07,2022-02-07,Devlet Malzeme Ofisi,Devlet Malzeme Ofisi,Beşeri Tıbbi Ürün Alımı,Medical supply,,TURKFLEKS,Turkey,,,23660691.0,,Türk İlaç ve Serum Sanayi A.Ş.,won,Raw tender value text: 23.660.691.71 | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü tarafından ihaleye çıkılan Beşeri Tıbbi alım işi TURKFLEKS markası ile uhdemizde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.,high
KAP-988707,KAP,https://www.kap.org.tr/tr/Bildirim/988707,2022-01-04,2022-01-04,2022-01-04,Devlet Malzeme Ofisi,Devlet Malzeme Ofisi,Diyaliz Solüsyon Alımı,Medical supply,,,Turkey,,,16342098.15,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 16.342.098,15 | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü 5 Nolu Satınalma Daire Başkanlığı tarafından ihaleye çıkılan Diyaliz Solüsyonu alım işi DİADOL markası ile uhdemizde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-979524,KAP,https://www.kap.org.tr/tr/Bildirim/979524,2021-11-24,2021-11-24,2021-11-24,Devlet Malzeme Ofisi,Devlet Malzeme Ofisi,PPD Tüberkülin Aşı,Medical supply,,,Turkey,,,3360000.0,,Türk İlaç ve Serum Sanayi A.Ş.,won,Raw tender value text: 3.360.000 TL | Group tender party: - | Devlet Malzeme Ofisi Tarafında Ankara Çankaya Halk Sağlığı Genel Müdürlüğü ihtiyacı olan PPD Tüberkülin 100 TU/2 ML intradermal Enjeksiyon Çözelti aşı ihalesi firmamız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla,high
KAP-978101,KAP,https://www.kap.org.tr/tr/Bildirim/978101,2021-11-16,2021-11-16,2021-11-16,Devlet Malzeme Ofisi,Devlet Malzeme Ofisi,Pediatrik Tip Hebatit B Aşısı,Medical supply,,,Turkey,,,10000000.0,,Türk İlaç ve Serum Sanayi A.Ş.,won,Raw tender value text: 10.000.000 TL | Group tender party: - | T.C. Sağlık Bakanlığı İhtiyacı için Devlet Malzeme Ofisi Tarafından açılan Hepatit B Aşısı ihalesi firmamız uhdesinde kalmıştır. Kamuoyunun bilgisine sunarız. Saygılarımızla.,high
KAP-975930,KAP,https://www.kap.org.tr/tr/Bildirim/975930,2021-11-08,2021-11-08,2021-11-08,Devlet Malzeme Ofisi Genel Müdürlüğü,Devlet Malzeme Ofisi Genel Müdürlüğü,Distile Su Alımı,Serum / IV solution,,,Turkey,,,4063323.35,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 4.063.323,35 TL | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü tarafından düzenlenen distile su ihalesi Turk İlaç ve Serum Sanayi A.Ş. Markası olan Diadol ile uhdemizde kalmış. Kamuoyunun bilgisine sunarız. Saygılarımızla.",high
KAP-942820,KAP,https://www.kap.org.tr/tr/Bildirim/942820,2021-06-17,2021-06-17,2021-06-17,Devlet Malzeme Ofisi Genel Müdürlüğü,Devlet Malzeme Ofisi Genel Müdürlüğü,Hemodiyaliz Solüsyonu Alımı,Serum / IV solution,,,Turkey,,,17595775.57,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 17.595.775,57 | Group tender party: Serum Depo A.Ş. | Devlet Malzeme Ofisi Genel Müdürlüğü tarafından düzenlenen hemodiyaliz solüsyonu ihalesi Turk İlaç ve Serum Sanayi A.Ş. Markası olan Diadol ile uhdemizde kalmış.",high
KAP-935621,KAP,https://www.kap.org.tr/tr/Bildirim/935621,2021-05-10,2021-05-10,2021-05-06,Devlet Malzeme Ofisi,Devlet Malzeme Ofisi,Tıbbi Malzeme İlaç Serum,Serum / IV solution,,TURKFLEKS,Turkey,,,9067160.5,,Türk İlaç ve Serum Sanayi A.Ş.,won,"Raw tender value text: 9.067.160,50 TL | Group tender party: Beşer Ecza Deposu | Devlet Malzeme Ofisi tarafından düzenlenen tıbbı malzeme İlaç alımı ihalesinde Turk İlaç ve Serum Sanayi A.Ş. Turkfleks markamızla serum ihalesi 9.963.912,64 TL ile firmamız uhdesinde kalmıştır.",high
